,id,clean_tweet,label
13229,13230,"al capon jail tax evasion, murder committed. 's achil heel? #unpresid #nohat",1
7996,7997,striker leagu wouldnt disallowd #munmid,1
2904,2905,girl get fuck leg fuck,1
22657,22658,call #carlpaladino step know spew consequences!,1
4558,4559,dear politician &amp; medium jind insid matter #humanright &amp; safeti woman india,1
1542,1543,"felt lawrenc fishburn ad ""magic negro"" hollywood stereotyp made of!",1
31930,31931,#feminismiscanc #feminismisterror #feminismmuktbharat #malevot ignor,1
5246,5247,kevin macdonald: ethnocentr normal ration #race #ethnocentr #altright #pegida,1
12850,12851,jonjo shelvey = man ever racial abus someon without say anything! #kickitout #shelvey,1
21319,21320,2017 wonder year crave #authoritarian hand,1
2044,2045,"serious lede. come on, better.",1
17584,17585,"countri argu differ shade black! d"" d!",1
531,532,#prais #cleveland polic #rnc polic consent decree! 75% #white #tamirric #rip,1
15879,15880,oops! #carlpaladino mean publicli post comments... via,1
27003,27004,genealog #xenophobia #papalbul #colonis #slaveri #enlighten #polygeni #pseudosci,1
29238,29239,playground insult alway reflect famili / societi rhetor #homosexu a|,1
27710,27711,#buddhist: #burmes noth #buddhism! period. #rohingya,1
29398,29399,yeah man fuck femin,1
16768,16769,#theresist #notmypresid ever #treason #narcissist #gaslight,1
15112,15113,might libtard if... #libtard #sjw #liber #polit,1
13739,13740,#allahsoil islamophobia serf empow extremists. #emirati #2016in4word,1
14054,14055,might libtard if... #libtard #sjw #liber #polit,1
2653,2654,i'd post flag logo 2008 i'd call . forc bake cake. dancers. elitist asses.,1
24933,24934,sex postion pictur white girl sex black guy,1
6599,6600,make pleas let know!!,1
21485,21486,proud mayor like isnt afraid speak truth..and ye complet righta|,1
8070,8071,"anyon think asian fetish ""harmless"" need read this. #objectif",1
24232,24233,watch this. #janeelliot #blueeyesbrowney,1
21649,21650,#allahsoil marx' revolut occurredajust expect to. a| a| #teambtsa|,1
10945,10946,here' racist troll. would love spread word,1
23135,23136,#obamalegaci show neg stuff??... i'm confused. #obama #potu #donuldtrump,1
15435,15436,"#sikh #templ vandalis #calgary, #wso condemn act",1
19987,19988,live countri mani think first ladi le vulgar black first lady. #trumpa|,1
579,580,"ye let this,suppo openli ,#prowar #anti #islamic,#homophobic,#rapist,who advoc same,#hypocrit",1
28414,28415,white peopl #expat rest u #immigrants? #classism #imperialsm,1
20064,20065,immatur tri make fool #xenophob #immatur #moron,1
3296,3297,lesson learn we...hate? shoot messenger...just press aaaplay aa...,1
26282,26283,"dear media, someon born here, call ""australians"" even shitti things. #whitepriva|",1
29065,29066,#feminismiscanc #feminismisterror #feminismmuktbharat #malevot ignor,1
3943,3944,diisgust perk offer passeng race male crew member flt 43. v other arnt same.,1
20013,20014,basic sum #brexit means: #britaina #euroscept #xenophob #isolationist #tribalisma|,1
11245,11246,say #fatty. dumb #black peopl think smell ! lol,1
19338,19339,"wish black , could lot feminist shut &amp; #homophobia",1
27518,27519,good man woman measur stabl relationship opposit sex. #money #parent #homosex clich semant #2017,1
11253,11254,"white ""social justic warriors"" _ get wrong, again. via #voterid #maga #p2 #rnc #dnc #vote",1
23129,23130,#putinpl comment reflect ignor #traitorump #endofth world,1
14080,14081,"d""#whitegenocid #bigot tell white student deserv live reason die!!d""",1
1136,1137,#quebec' #humanright &amp; #justic system fail protect victim polic,1
26273,26274,#peopl protest #trump #republican won-they trump fuher &amp;a|,1
15742,15743,over-excit man attack cat open present cat rep trump yo!,1
24720,24721,#bama #alabama st. south long #ncaa #dollar roll keep #silent ona|,1
1006,1007,"radic counter . terrorist see u inhumans, ""the free"" can't judg color,a|",1
20977,20978,ya real winner #loser,1
31789,31790,#paladino one rare breed shot street left piss blood gutter.,1
10263,10264,#allahsoil life matter. #emirati #2016in4word,1
5105,5106,say he' asham thing he' done continu make shame remark woman #hypocritea|,1
8241,8242,uk 2016: fell pop star job #bbc #euref #brexit #media,1
8290,8291,haha get,1
19705,19706,stop lie #keithellison' 11 year anti-semit hate group #keithx #dncchair #antisemit,1
23649,23650,#isra invent #apaheid #goyim word,1
18493,18494,a| #black &amp; feel like stomp you? listen #retweet #tampa #miamia|,1
263,264,"man ran governor ny, state biggest african-american popul #a|",1
11520,11521,"8 presidents, polici isra settlement obama slam treacher anti-semite. a|",1
28440,28441,"#goodonedean!!! #metoo!!! #lol. #trumpism #putinism. #donaldtrump #traitor, #commit #treason.a|",1
14506,14507,"#video #lithuania lisa like cuckold write now! ai, aa #followm #",1
19949,19950,reson mani muslim might,1
20289,20290,next klan meeting?,1
23770,23771,might libtard if... #libtard #sjw #liber #polit,1
16712,16713,4th remak hi-5 token asian chick. #carolsbycandlelight,1
3408,3409,awar facebook legislature.,1
1411,1412,shot insid pussi offic woman,1
31691,31692,"7 way #facebooka #repoingsystem fail #communitystandards, user #blacklivesmatt",1
12835,12836,pre-ord this. sound realli great book,1
11213,11214,might libtard if... #libtard #sjw #liber #polit,1
13946,13947,disgust need releas wild die mad cow disease.,1
780,781,thank you!! power #social #media! #aand,1
14836,14837,forget woman misogynists!,1
30641,30642,#allahsoil peopl around world afraid. world prime react. a| #emirati #2a|,1
16803,16804,#allahsoil think cultur separ distinct one another. a| a|,1
15885,15886,"victim #islamophobia adam saleh refer black peopl ""abeed"" (slaves) one sketches.",1
15180,15181,"black hair come differ style slavery, coloni policing. #coloni #slaveri #tie",1
12306,12307,carl paladino need lose school board seat. disgust #pig,1
20380,20381,nick cannon speak system via #alllivesmatt #unboa|,1
30493,30494,#happyholiday tri #christmasev :-d,1
9356,9357,idioci feminism. actual think microaggress matter. here' proof:,1
8374,8375,far blog comment claim senad lulic statement racist. join debate. #lazioa|,1
10762,10763,like u deploy bc we'r interf #genocid within #africa stop kill eaca|,1
11271,11272,"y'all, global. may lose folk understand.",1
10348,10349,feel trigger statement. &amp; strawberri blond lock go safe space.,1
23423,23424,"#nation #judg #treat highest #citizens, lowest ones. #nelsonmandela #justic #raa|",1
5124,5125,comment reflect ignor,1
13425,13426,sign check bag iah. every. single. time.,1
4167,4168,chaplin - dictat speech via #theresist #resist #resist #maga #altright #raa|,1
28613,28614,#millenni think :,1
24570,24571,aris sir mo farah. countri #islamophob #immigr hate chumps.,1
31364,31365,america racist. plethora reason someon like obama. ignor mani fashioa|,1
30022,30023,"why? pleas explain u we're, ""bad.""",1
23773,23774,#wakemeupwhen left stop #hypocrit #liberallog,1
20427,20428,comment mrs. obama offens fuher confirm racist jackass. #idiot,1
22272,22273,run #hater bitch #whiteknight d(c)d(c)d(c) d(c)d(c)d(c),1
3669,3670,"#allahsoil fear monger becom loudest voices, know could happen. a|a|",1
4435,4436,hell juan decid kellyann rais kid work? we'v years! can't standa|,1
30133,30134,time #grabyourwallet &amp; boycott give book deal troll ban twitter,1
4477,4478,#trump hook healand valid #adulteri #incest #pedophilia #bigotri #hate #deceit #maga #notmypresid,1
19457,19458,#cnn call #michigan middl school 'build wall' chant '' #tcot,1
18231,18232,fuck di bag #notmypresid #fucktrump #sexualpred #liar #incompit #orang #delusion #divid #moron,1
25384,25385,racist?,1
22216,22217,everi trump suppoer racist everi racist trump suppoer. irrefut truism. must never tolerated.,1
7813,7814,"come in, =fraud &amp; document #liar lost base call #nazi #brownshi he' pivoa|",1
5682,5683,work: attorney white offic shot #philandocastil remov black judg presid trial. hta|,1
1214,1215,"also #keyboard type ""caus coopt terrorists"" reg syria autocorrect ""caus color terrorists""",1
11641,11642,"woh reading. ""here' joseph boyden reinforc system oppress first nations"" via|",1
15089,15090,prison offic goad #muslim inmat need restrain pa game,1
7556,7557,"4 #blackpeopl beat #whiteperson ? no, 3 bp might make 2 cou aliv serv life somehow. vs..",1
9119,9120,#allahsoil medium disto threat islam extremism. a| #emiratisa|,1
23956,23957,#trump nowher close geniu all. fact iq singl digits.a|,1
22542,22543,"bridg appeared. denial indigen first peopl racism. ergo, a|",1
3146,3147,"this. need chang profiling, #economicapahied, #hatespeech get servic poor.a|",1
7592,7593,twitter full vile #altright #homophob #theistic #troll man give juic #fightlikeagirla|,1
15183,15184,thing #lgbt community. &amp; #islamophobia i'v experienc white gay men.,1
28990,28991,attack chinguas~ &lt;33,1
15386,15387,#allahsoil clintona ainvis hand joba champion conserv right. a| a|a|,1
29625,29626,#allahsoil mani politician claim jihad attack human a| #teambtsa|,1
16603,16604,"#carlpaladino made , vile remark #presidentobama &amp; #micheleobama | #trump #deplor must go",1
2929,2930,#democrat pay alway pay black inferior whites. white inferior everybodi,1
28286,28287,sea shepherd suppoer racist! #antirac #seashepherd,1
